AAE,ARE,EAE,WMRD,method,model_param_bytes,n_keys,seconds,sketch_memory_bytes,stage,sum_gt,sum_pred
1.038965238480194,1.0084347673675302,0.39673392690287557,0.4864864864864865,UCL-ML,,6185,2.644,218136,ALL_GT,10000.0,16418.0
1.243873041382081,1.2192915494843979,0.10696516821337099,0.7136929460580913,UCL-ML,,2489,0.04,,L1_all,2791.0,5885.0
1.218336483931947,1.1727945809703844,0.000978453856339101,0.6534854245880862,UCL-ML,,1058,0.017,,L2_hot16_top256,1329.0,2616.0
1.2412731006160165,1.1918035592060232,0.019141471036032698,0.6540438193129564,UCL-ML,,974,0.015,,L3_hot24_top512,1245.0,2452.0
0.5026748355512914,0.42914199852939705,0.04025402811741152,0.4452716891312002,HISR,1613262868,2489,2316.686,,L1_all,2791.0,2828.7494528717198
0.5064174928150822,0.3611998745754532,0.07575143114622662,0.4133082873733355,HISR,1613262868,1058,2314.863,,L2_hot16_top256,1329.0,1263.6879463434796
0.4998609914368775,0.346290687274737,0.10162890800521751,0.402616924224505,HISR,1613262868,974,2314.803,,L3_hot24_top512,1245.0,1173.5004472789426
0.18402585099845276,0.17529770889625595,0.022009578980664912,0.11290685771946361,HISR+HF,1613262868,6185,2314.165,218136,ALL_GT,10000.0,10161.74945287172
