AAE,ARE,EAE,WMRD,method,model_param_bytes,n_keys,seconds,sketch_memory_bytes,stage,sum_gt,sum_pred
2.7385610347615197,2.6627304981912907,0.153932299160628,0.9176508830859248,UCL-ML,,6185,2.904,364467,ALL_GT,10000.0,26916.0
3.3487972508591066,3.3014986636120653,0.6208630470568686,1.2084323654025009,UCL-ML,,1746,0.025,,L1_all,1915.0,7762.0
3.2004981320049812,3.0976546284765463,0.4922380497986012,1.1386796632698273,UCL-ML,,803,0.011,,L2_hot16_top256,972.0,3542.0
3.203262233375157,3.0996445002091177,0.4906514693201771,1.1384615384615384,UCL-ML,,797,0.011,,L3_hot24_top512,966.0,3519.0
0.42163921446284897,0.35617814605224996,0.0034734848763875448,0.3970425316410938,HISR,1613262868,1746,3234.813,,L1_all,1915.0,1793.3285027892443
0.37018903247446083,0.24621093017362863,0.15739513205782174,0.32378444443944693,HISR,1613262868,803,3233.624,,L2_hot16_top256,972.0,864.1709352135658
0.37055389158698365,0.24502702846807234,0.16176512793347797,0.3207675448889718,HISR,1613262868,797,3233.651,,L3_hot24_top512,966.0,875.4048197865523
0.10105086727639837,0.09651265287405834,0.01938889357113993,0.0625239440235615,HISR+HF,1613262868,6185,3233.057,364467,ALL_GT,10000.0,9992.328502789245
