target_kb,actual_kb,method,scope,stage,AAE,ARE,WMRD,EAE,n_keys,sum_gt,sum_pred,seconds,slot_num,width,depth,bf_width,sketch_memory_bytes,model_param_bytes,hf_bytes,cm_bytes,bf_bytes,status
50,49.916015625,ALSketch,TEST_SPLIT,TEST_SPLIT,1.9931718061674009,1.8019646891459087,1.2065333333333332,0.6427381160184424,,,,1.7,1790,1808,3,4520,,,28816,21732,566,ok
50,49.916015625,ML-Sketch,TEST_SPLIT,TEST_SPLIT,1.4304489605752382,1.257508425691884,0.8658984374682108,0.5631318708936366,,,,3.592,1790,1808,3,4520,,,28816,21732,566,ok
50,49.916015625,TalentSketch,TEST_SPLIT,TEST_SPLIT,0.7129638282212917,0.1482704988153849,0.4315807706832886,1.0316668145453498,,,,1.457,1790,1808,3,4520,,,28816,21732,566,ok
50,49.916015625,DeepSketch,TEST_SPLIT,TEST_SPLIT,0.7744967838741084,0.21161624154303363,0.4688287198384603,1.031801762787758,,,,1.23,1790,1808,3,4520,,,28816,21732,566,ok
50,49.916015625,ZoomSynth-GTT,TEST_SPLIT,TEST_SPLIT,4.241385564089872,3.708303695104174,2.567452061462402,0.8399409985303521,,,,1.692,1790,1808,3,4520,,,28816,21732,566,ok
50,49.916015625,UCL-ML,ALL_GT,ALL_GT,7.741471301535974,7.325929924465979,1.4191798686960002,0.25564298630651194,6185,10000.0,57477.0,2.515,1790,1808,3,4520,72846,,28816,21732,566,ok
50,49.916015625,HISR+HF,ALL_GT,ALL_GT,0.9795821972045273,0.9068349621667248,0.5774607777594984,0.4100681082516502,6185,10000.0,10983.991027814336,2411.138,1790,1808,3,4520,72846,1613262868,28816,21732,566,ok
100,99.4443359375,ALSketch,TEST_SPLIT,TEST_SPLIT,0.6936123348017621,0.6049336950299912,0.41986666666666667,0.3878127700034817,,,,1.854,3580,3616,3,9041,,,57296,43404,1131,ok
100,99.4443359375,ML-Sketch,TEST_SPLIT,TEST_SPLIT,0.5166480356638652,0.4328267990240692,0.3127442775885264,0.2866947199763743,,,,1.471,3580,3616,3,9041,,,57296,43404,1131,ok
100,99.4443359375,TalentSketch,TEST_SPLIT,TEST_SPLIT,0.7121268983979582,0.14954072432220375,0.43107414916356407,1.031326771219934,,,,1.201,3580,3616,3,9041,,,57296,43404,1131,ok
100,99.4443359375,DeepSketch,TEST_SPLIT,TEST_SPLIT,0.7887880112631206,0.2279520952445184,0.4774796761512756,1.0320038757337606,,,,1.146,3580,3616,3,9041,,,57296,43404,1131,ok
100,99.4443359375,ZoomSynth-GTT,TEST_SPLIT,TEST_SPLIT,4.375825293946371,3.8448293844991706,2.64883291126887,0.9410760865069996,,,,1.313,3580,3616,3,9041,,,57296,43404,1131,ok
100,99.4443359375,UCL-ML,ALL_GT,ALL_GT,1.799029911075182,1.7309295021116033,0.716000128695988,0.5243965831232593,6185,10000.0,21081.0,2.702,3580,3616,3,9041,145235,,57296,43404,1131,ok
100,99.4443359375,HISR+HF,ALL_GT,ALL_GT,0.37294130236263306,0.3497234645187795,0.22778130324146478,0.09542834688013357,6185,10000.0,10253.128086352874,2569.856,3580,3616,3,9041,145235,1613262868,57296,43404,1131,ok
150,149.37890625,ALSketch,TEST_SPLIT,TEST_SPLIT,0.3579295154185022,0.29346416314327883,0.21666666666666667,0.26459447176340234,,,,1.68,5371,5425,3,13561,,,86096,65172,1696,ok
150,149.37890625,ML-Sketch,TEST_SPLIT,TEST_SPLIT,0.24314136313446819,0.19924231967768535,0.14718157181739808,0.15623240489111367,,,,1.363,5371,5425,3,13561,,,86096,65172,1696,ok
150,149.37890625,TalentSketch,TEST_SPLIT,TEST_SPLIT,0.6801732700564262,0.11149358624675133,0.41173155280749,1.0319546387171883,,,,1.108,5371,5425,3,13561,,,86096,65172,1696,ok
150,149.37890625,DeepSketch,TEST_SPLIT,TEST_SPLIT,0.825123257390203,0.27061037972241575,0.49947461180686953,1.0321195066199582,,,,1.187,5371,5425,3,13561,,,86096,65172,1696,ok
150,149.37890625,ZoomSynth-GTT,TEST_SPLIT,TEST_SPLIT,4.492001727866707,3.9653053513778014,2.7191583792686465,0.9749061005837945,,,,1.221,5371,5425,3,13561,,,86096,65172,1696,ok
150,149.37890625,UCL-ML,ALL_GT,ALL_GT,1.038965238480194,1.0084347673675302,0.4864864864864865,0.39673392690287557,6185,10000.0,16418.0,3.174,5371,5425,3,13561,218136,,86096,65172,1696,ok
150,149.37890625,HISR+HF,ALL_GT,ALL_GT,0.1833697147879128,0.175662676135665,0.11255018151412127,0.027430562800482505,6185,10000.0,10153.52922058049,2365.726,5371,5425,3,13561,218136,1613262868,86096,65172,1696,ok
200,199.158203125,ALSketch,TEST_SPLIT,TEST_SPLIT,0.21035242290748898,0.15316166567805642,0.12733333333333333,0.1965994214651836,,,,1.735,7161,7233,3,18082,,,114832,86844,2262,ok
200,199.158203125,ML-Sketch,TEST_SPLIT,TEST_SPLIT,0.11711044164481142,0.10040749947519455,0.07089085400899252,0.059888598025757744,,,,1.464,7161,7233,3,18082,,,114832,86844,2262,ok
200,199.158203125,TalentSketch,TEST_SPLIT,TEST_SPLIT,0.6774948184842055,0.10845300597015206,0.4101101967891057,1.0320076773359546,,,,1.191,7161,7233,3,18082,,,114832,86844,2262,ok
200,199.158203125,DeepSketch,TEST_SPLIT,TEST_SPLIT,0.8004974557439661,0.24285133746729215,0.4845677932103475,1.0321289734414059,,,,1.214,7161,7233,3,18082,,,114832,86844,2262,ok
200,199.158203125,ZoomSynth-GTT,TEST_SPLIT,TEST_SPLIT,4.556283716010627,4.036510259678719,2.7580704094250996,0.9905174573468951,,,,1.283,7161,7233,3,18082,,,114832,86844,2262,ok
200,199.158203125,UCL-ML,ALL_GT,ALL_GT,0.8554567502021019,0.8291551576680395,0.4184758967058172,0.3225743091304576,6185,10000.0,15287.0,3.397,7161,7233,3,18082,290782,,114832,86844,2262,ok
200,199.158203125,HISR+HF,ALL_GT,ALL_GT,0.13928407056359865,0.13250862344393688,0.08603336932545237,0.02563152290897186,6185,10000.0,10026.461434447092,2590.027,7161,7233,3,18082,290782,1613262868,114832,86844,2262,ok
250,249.9755859375,ALSketch,TEST_SPLIT,TEST_SPLIT,0.15198237885462554,0.10117399374169708,0.092,0.17112797663235568,,,,1.866,9041,9041,3,22603,,,144656,108492,2827,ok
250,249.9755859375,ML-Sketch,TEST_SPLIT,TEST_SPLIT,0.1023686057670526,0.07289197431139453,0.061967129357655845,0.09003620346044627,,,,1.491,9041,9041,3,22603,,,144656,108492,2827,ok
250,249.9755859375,TalentSketch,TEST_SPLIT,TEST_SPLIT,0.6760597831614742,0.1069246194877908,0.4092415220737457,1.0320018419268422,,,,1.09,9041,9041,3,22603,,,144656,108492,2827,ok
250,249.9755859375,DeepSketch,TEST_SPLIT,TEST_SPLIT,0.8013907155276395,0.24409338372789247,0.4851085131327311,1.0321251185513312,,,,1.181,9041,9041,3,22603,,,144656,108492,2827,ok
250,249.9755859375,ZoomSynth-GTT,TEST_SPLIT,TEST_SPLIT,4.703648827622115,4.175455939020784,2.8472754236539206,0.980183286326346,,,,1.276,9041,9041,3,22603,,,144656,108492,2827,ok
250,249.9755859375,UCL-ML,ALL_GT,ALL_GT,2.7385610347615197,2.6627304981912907,0.9176508830859248,0.153932299160628,6185,10000.0,26916.0,3.217,9041,9041,3,22603,364467,,144656,108492,2827,ok
250,249.9755859375,HISR+HF,ALL_GT,ALL_GT,0.10230183100388067,0.09791628960436083,0.06329952550012985,0.019981734302669807,6185,10000.0,9991.834686271195,3306.751,9041,9041,3,22603,364467,1613262868,144656,108492,2827,ok
