target_kb,actual_kb,method,scope,AAE,ARE,WMRD,EAE,n_keys,sum_gt,sum_pred,seconds,slot_num,width,depth,bf_width,sketch_memory_bytes,model_param_bytes,hf_bytes,cm_bytes,bf_bytes,status,stage
20,19.9755859375,UCL-ML,ALL_GT,4.325170842824601,2.9156522827956253,0.9023941068139963,0.6541464948940305,3512,10000.0,23666.0,1.96,716,723,3,1808,29179,,11504,8724,227,ok,ALL_GT
20,19.9755859375,HISR+HF,ALL_GT,1.2051597329913077,0.7862327039118719,0.48966162786552214,1.3086383827030676,3512,10000.0,7287.533845424652,720.807,716,723,3,1808,29179,1613262868,11504,8724,227,ok,ALL_GT
20,19.9755859375,ALSketch,TEST_SPLIT,5.151356652500818,4.0092221410601665,2.1010666666666666,1.2625590199272008,,,,3.368,716,723,3,1808,,,11504,8724,227,ok,
20,19.9755859375,ML-Sketch,TEST_SPLIT,3.3345132142393057,2.631789744918597,1.360036789647738,1.0886860908727805,,,,4.292,716,723,3,1808,,,11504,8724,227,ok,
20,19.9755859375,TalentSketch,TEST_SPLIT,1.5074300612644185,0.2619290616753571,0.6148304743210474,1.6398236218389837,,,,3.675,716,723,3,1808,,,11504,8724,227,ok,
20,19.9755859375,DeepSketch,TEST_SPLIT,1.8883902094807645,0.8572641941380941,0.7702114201068878,1.6554403777735054,,,,3.095,716,723,3,1808,,,11504,8724,227,ok,
20,19.9755859375,ZoomSynth-GTT,TEST_SPLIT,5.851525672006622,4.401378604659352,2.3866422707557677,0.6310481999025477,,,,3.326,716,723,3,1808,,,11504,8724,227,ok,
40,39.7900390625,UCL-ML,ALL_GT,4.289009111617312,3.3294738389540597,0.8702660542508016,1.091130707890338,3512,10000.0,24617.0,2.151,1432,1446,3,3616,58109,,22928,17364,453,ok,ALL_GT
40,39.7900390625,HISR+HF,ALL_GT,0.8014173745786612,0.5982873845124873,0.27500282196716924,0.0942400317213572,3512,10000.0,10469.44681794045,1172.932,1432,1446,3,3616,58109,1613262868,22928,17364,453,ok,ALL_GT
40,39.7900390625,ALSketch,TEST_SPLIT,1.9807126511932005,1.5028406957000482,0.8078666666666666,0.9013251401471898,,,,3.465,1432,1446,3,3616,,,22928,17364,453,ok,
40,39.7900390625,ML-Sketch,TEST_SPLIT,1.5675913660929226,1.0785393746074983,0.6393682651837667,0.8283774931926473,,,,3.091,1432,1446,3,3616,,,22928,17364,453,ok,
40,39.7900390625,TalentSketch,TEST_SPLIT,1.4717339472896953,0.2528414450097808,0.6002712193012237,1.6453708624069918,,,,2.923,1432,1446,3,3616,,,22928,17364,453,ok,
40,39.7900390625,DeepSketch,TEST_SPLIT,2.080366332143613,1.072425881486902,0.8485120813369751,1.6558565272371908,,,,3.187,1432,1446,3,3616,,,22928,17364,453,ok,
40,39.7900390625,ZoomSynth-GTT,TEST_SPLIT,4.859332228844834,3.4948864374330597,1.9819596384048461,0.8957366858483766,,,,3.134,1432,1446,3,3616,,,22928,17364,453,ok,
60,59.8388671875,UCL-ML,ALL_GT,2.832289293849658,2.3235747462319085,0.6666219884059914,1.035274750816452,3512,10000.0,19843.0,2.32,2149,2170,3,5424,87423,,34448,26148,679,ok,ALL_GT
60,59.8388671875,HISR+HF,ALL_GT,0.37660771809476395,0.2822665788837763,0.1313836326189089,0.040199426420047146,3512,10000.0,10134.110765307825,1186.007,2149,2170,3,5424,87423,1613262868,34448,26148,679,ok,ALL_GT
60,59.8388671875,ALSketch,TEST_SPLIT,1.0660346518470087,0.7798371178113542,0.4348,0.6670838496996545,,,,3.634,2149,2170,3,5424,,,34448,26148,679,ok,
