AAE,ARE,EAE,WMRD,method,model_param_bytes,n_keys,seconds,sketch_memory_bytes,stage,sum_gt,sum_pred
4.325170842824601,2.9156522827956253,0.6541464948940305,0.9023941068139963,UCL-ML,,3512,1.96,29179,ALL_GT,10000.0,23666.0
7.347786811201446,4.860401740019445,0.04330825578795228,1.2213213213213214,UCL-ML,,1107,0.021,,L1_all,2875.0,10445.0
7.347786811201446,4.860401740019445,0.04330825578795228,1.2213213213213214,UCL-ML,,1107,0.021,,L2_hot16_top256,2875.0,10445.0
7.347786811201446,4.860401740019445,0.04330825578795228,1.2213213213213214,UCL-ML,,1107,0.021,,L3_hot24_top512,2875.0,10445.0
1.675560590697498,0.758467867171932,0.5753851005061339,0.7041221061957994,HISR,1613262868,1107,721.186,,L1_all,2875.0,2393.533845424652
1.638683052351589,0.6782388248599278,0.46294672972191186,0.7401629205586735,HISR,1613262868,1107,721.34,,L2_hot16_top256,2875.0,2026.6833688020706
2.5971093044263776,1.0,9.536796909276795,2.0,HISR,1613262868,1107,721.213,,L3_hot24_top512,2875.0,0.0
1.2051597329913077,0.7862327039118719,1.3086383827030676,0.48966162786552214,HISR+HF,1613262868,3512,720.807,29179,ALL_GT,10000.0,7287.533845424652
