AAE,ARE,EAE,WMRD,method,model_param_bytes,n_keys,seconds,sketch_memory_bytes,stage,sum_gt,sum_pred
4.289009111617312,3.3294738389540597,1.091130707890338,0.8702660542508016,UCL-ML,,3512,2.151,58109,ALL_GT,10000.0,24617.0
4.993384785005513,3.8857808606312187,0.09070463607108081,1.142821095129952,UCL-ML,,1814,0.039,,L1_all,3514.0,12338.0
4.993384785005513,3.8857808606312187,0.09070463607108081,1.142821095129952,UCL-ML,,1814,0.034,,L2_hot16_top256,3514.0,12338.0
4.993384785005513,3.8857808606312187,0.09070463607108081,1.142821095129952,UCL-ML,,1814,0.034,,L3_hot24_top512,3514.0,12338.0
1.269757551648138,0.7945188782925514,0.16388521198494566,0.608508389024348,HISR,1613262868,1814,1173.528,,L1_all,3514.0,4056.4468179404503
1.3439007864647896,0.8479871670004019,0.12653835370649702,0.6447584597933717,HISR,1613262868,1814,1173.537,,L2_hot16_top256,3514.0,4048.01330783125
1.4533914780619854,0.9365140916588859,0.07156025934486365,0.6987658212664863,HISR,1613262868,1814,1173.535,,L3_hot24_top512,3514.0,4032.024894079601
0.8014173745786612,0.5982873845124873,0.0942400317213572,0.27500282196716924,HISR+HF,1613262868,3512,1172.932,58109,ALL_GT,10000.0,10469.44681794045
